drug,location,sold_on,quantity_purchased,quantity_sold,keep
RANITIDINE ,4,27-06-17,129,4,No
Adrenaline ,10,03-09-17,128,2,No
PACLITAXEL ,1,06-09-16,102,10,No
Antihistamines ,13,30-05-16,39,10,No
Dantrolene ,5,06-01-19,56,7,No
Tetracycline ,9,18-09-17,14,7,Yes
Nitazoxanide ,2,10-10-18,77,9,No
Acetaminophen ,5,29-03-16,132,6,No
Aminophylline ,10,14-10-16,41,6,No
PACLITAXEL ,1,11-11-18,53,5,No
Aminophylline ,6,25-11-18,49,2,No
Chloramphenicol ,4,04-01-19,74,7,No
SODIUM CHLORIDE ,5,20-07-18,56,1,No
Vitamin K ,10,06-04-17,30,8,No
Glucagon ,12,25-03-17,29,6,No
ciprofloxacin ,8,16-09-18,15,4,No
Tetracycline ,2,07-01-18,54,2,No
Glucagon ,12,10-03-18,40,2,No
ciprofloxacin ,2,06-03-17,50,6,No
Methotrexate ,6,26-03-19,118,2,No
DIPYRIDAMOLE ,1,15-08-18,53,5,No
Vitamin K ,1,11-02-18,50,9,No
FLUOXETINE ,4,05-02-18,42,7,No
PACLITAXEL ,6,18-03-18,100,10,No
Aminophylline ,11,25-05-16,124,1,No
Adrenaline ,9,05-12-17,79,8,No
SODIUM CHLORIDE ,9,01-10-18,56,10,No
DIPYRIDAMOLE ,6,24-01-19,86,2,No
Adrenaline ,8,17-06-17,139,10,No
DIPYRIDAMOLE ,2,01-03-18,138,4,No
Adrenaline ,6,06-09-18,61,4,No
Methotrexate ,8,25-08-16,74,1,No
Vitamin K ,12,01-02-17,24,6,No
METRONIDAZOLE ,3,15-09-17,73,5,No
Hydroxychloroquine ,11,04-12-18,115,1,No
Aminophylline ,1,25-02-17,18,8,No
Aqueous gentian violet ,13,15-03-18,124,8,No
MAGALDRATE ,5,20-09-16,84,6,No
Aspirin ,6,19-08-17,62,8,No
Acetaminophen ,7,23-09-18,85,6,No
RANITIDINE ,7,27-08-16,95,10,No
RANITIDINE ,1,04-05-18,54,4,No
Hydroxychloroquine ,2,29-06-18,66,7,No
Keratolytics ,7,20-07-17,140,7,No
RANITIDINE ,8,05-03-17,54,10,No
Paracetamol GV 500 ,1,31-12-18,114,2,No
ciprofloxacin ,13,29-05-17,63,2,No
Panadol ,12,29-11-16,48,6,No
Paracetamol GV 500 ,10,06-05-17,51,5,No
Glucagon ,6,21-06-18,111,7,No
RANITIDINE ,2,01-10-17,22,7,No
METRONIDAZOLE ,8,20-07-18,85,10,No
Aspirin ,12,24-06-17,85,8,No
Scopolamine ,11,21-01-18,23,8,No
Acetaminophen ,1,20-10-18,41,1,No
METRONIDAZOLE ,11,14-04-19,100,5,No
RANITIDINE ,11,09-11-17,124,10,No
Dantrolene ,1,19-05-18,78,6,No
MAGALDRATE ,2,01-03-18,62,10,No
ciprofloxacin ,5,03-12-17,19,10,Yes
Phenothiazines ,6,23-05-16,16,10,Yes
Adrenaline ,7,30-03-19,19,9,No
Keratolytics ,12,02-07-18,74,9,No
Estrogens ,4,22-10-16,11,8,Yes
Trimethoprim ,13,09-11-18,28,1,No
Hydroxychloroquine ,10,11-04-17,137,7,No
Ibuprofen ,13,03-04-16,99,5,No
Scopolamine ,8,28-07-18,54,2,No
Scopolamine ,8,21-10-18,80,4,No
Paracetamol GV 500 ,1,23-04-19,59,10,No
Keratolytics ,6,04-02-17,133,3,No
RANITIDINE ,2,25-04-19,124,10,No
Nitazoxanide ,3,25-09-17,40,3,No
MAGALDRATE ,11,17-03-18,99,5,No
Paracetamol GV 500 ,8,28-12-17,120,4,No
RANITIDINE ,1,09-03-18,121,3,No
Furazolidone ,4,12-03-18,119,7,No
Acetaminophen ,11,28-02-19,51,6,No
Keratolytics ,1,05-09-17,120,7,No
FLUOXETINE ,6,09-04-17,62,4,No
DIPYRIDAMOLE ,9,17-07-17,44,4,No
Paracetamol GV 500 ,7,16-12-17,72,10,No
Nitazoxanide ,2,18-08-17,22,2,No
SODIUM CHLORIDE ,7,04-09-18,104,6,No
Paracetamol GV 500 ,4,24-10-17,139,6,No
Chloramphenicol ,7,16-04-18,55,9,No
Aqueous gentian violet ,6,23-04-18,70,6,No
Aspirin ,3,19-02-18,69,9,No
Acyclovir ,8,04-12-18,44,2,No
Acyclovir ,13,03-10-17,93,2,No
Panadol ,6,07-08-18,38,6,No
Glucagon ,10,23-08-16,14,8,Yes
Keratolytics ,3,04-03-16,64,3,No
Panadol ,12,14-01-17,127,5,No
Dantrolene ,12,27-11-18,127,5,No
Aminophylline ,7,27-05-16,65,4,No
Aminophylline ,1,28-07-18,27,4,No
DIPYRIDAMOLE ,4,23-06-16,128,4,No
Aspirin ,6,14-07-16,103,3,No
Tetracycline ,4,04-09-17,19,10,Yes
RANITIDINE ,2,23-02-16,66,3,No
DIPYRIDAMOLE ,9,22-08-17,140,10,No
Estrogens ,6,20-05-17,129,8,No
Nitazoxanide ,3,22-01-19,116,10,No
Antihistamines ,5,10-12-18,40,7,No
RANITIDINE ,10,28-10-18,65,4,No
RANITIDINE ,6,31-01-16,112,7,No
RANITIDINE ,7,10-07-18,85,10,No
Furazolidone ,7,13-03-19,44,1,No
Dantrolene ,8,09-08-16,90,7,No
Aminophylline ,10,31-03-16,72,6,No
Phenothiazines ,2,07-05-16,11,3,No
Panadol ,6,23-04-19,132,9,No
Panadol ,10,05-01-16,130,8,No
Acetaminophen ,1,20-11-17,76,2,No
Ciprofloxacin ,10,03-06-16,65,2,No
SODIUM CHLORIDE ,7,10-11-17,110,2,No
Ibuprofen ,4,17-06-16,34,9,No
Acyclovir ,2,26-08-16,10,8,Yes
PACLITAXEL ,9,23-10-16,78,5,No
Antihistamines ,5,09-06-17,105,5,No
Adrenaline ,6,03-11-18,54,8,No
Antihistamines ,10,09-10-16,82,5,No
Furazolidone ,8,15-04-16,132,6,No
Tetracycline ,12,21-05-17,37,5,No
PACLITAXEL ,3,12-08-17,78,5,No
ciprofloxacin ,5,15-11-16,110,10,No
Methotrexate ,10,25-04-18,114,1,No
Paracetamol GV 500 ,2,04-12-18,34,1,No
Trimethoprim ,6,30-07-16,83,1,No
Nitazoxanide ,3,13-01-18,133,5,No
Panadol ,6,27-04-17,66,9,No
DIPYRIDAMOLE ,1,25-03-19,82,8,No
RANITIDINE ,5,18-10-18,16,9,Yes
Vitamin K ,6,18-03-19,50,9,No
Furazolidone ,12,01-03-17,71,4,No
Acyclovir ,3,12-03-19,73,5,No
Dantrolene ,10,08-03-18,88,10,No
Adrenaline ,1,06-05-18,97,3,No
MAGALDRATE ,8,16-03-16,34,10,No
Methotrexate ,1,11-01-16,35,6,No
Trimethoprim ,2,05-03-17,32,10,No
RANITIDINE ,10,11-04-18,92,2,No
Glucagon ,2,19-11-16,15,7,No
Aspirin ,4,30-08-17,64,10,No
METRONIDAZOLE ,9,30-01-17,133,3,No
MAGALDRATE,6,15-08-16,115,7,No
Acyclovir ,2,04-04-18,115,9,No
Aspirin ,1,25-11-16,78,3,No
RANITIDINE ,7,19-05-18,103,2,No
Furazolidone ,5,02-07-17,131,6,No
Aqueous gentian violet ,4,27-01-18,53,3,No
Aminophylline ,10,13-02-17,86,3,No
MAGALDRATE ,11,29-07-16,47,8,No
SODIUM CHLORIDE ,10,19-05-17,27,7,No
Paracetamol GV 500 ,7,16-02-17,116,3,No
Acetaminophen ,13,18-09-16,109,7,No
ciprofloxacin ,8,06-03-16,66,4,No
MAGALDRATE ,7,16-04-19,62,7,No
Trimethoprim ,9,23-07-18,106,5,No
Tetracycline ,7,24-10-16,36,5,No
SODIUM CHLORIDE ,5,27-07-17,28,1,No
RANITIDINE ,8,12-07-18,10,8,Yes
Nitazoxanide ,3,19-08-17,118,5,No
Adrenaline ,13,03-02-19,73,7,No
Aminophylline ,2,03-09-17,86,7,No
Dantrolene ,7,05-05-17,21,8,No
Nitazoxanide ,5,01-10-18,18,1,No
DIPYRIDAMOLE ,11,19-01-19,108,8,No
Dantrolene ,2,06-06-16,87,9,No
MAGALDRATE ,11,09-05-17,115,3,No
Glucagon ,7,03-04-16,90,8,No
Nitazoxanide ,3,19-04-16,108,5,No
Dantrolene ,13,27-10-18,93,8,No
Scopolamine ,9,17-09-18,79,6,No
Antihistamines ,5,05-01-17,33,5,No
MAGALDRATE,7,19-07-18,58,3,No
Phenothiazines ,1,22-09-18,35,4,No
Ibuprofen ,7,14-09-18,100,7,No
Nitazoxanide ,7,18-09-16,128,4,No
RANITIDINE ,3,28-06-16,97,6,No
Panadol ,10,28-02-18,63,7,No
Nitazoxanide ,8,14-04-19,125,7,No
PACLITAXEL ,9,03-09-17,127,4,No
FLUOXETINE ,4,20-10-18,19,9,No
METRONIDAZOLE ,13,12-06-17,99,3,No
Glucagon ,9,11-02-19,24,7,No
RANITIDINE ,4,27-04-17,11,1,No
MAGALDRATE,12,15-04-18,40,5,No
Furazolidone ,3,01-05-17,74,5,No
Scopolamine ,11,24-05-18,121,7,No
Keratolytics ,9,29-11-18,12,8,Yes
Ciprofloxacin ,6,20-02-19,63,4,No
Scopolamine ,4,13-01-17,94,7,No
Vitamin K ,7,12-03-17,21,2,No
Acyclovir ,8,22-02-18,110,1,No
Vitamin K ,7,06-06-18,22,10,No
Methotrexate ,12,14-03-19,31,1,No
Paracetamol GV 500 ,10,09-02-19,97,10,No
Panadol ,12,28-06-18,107,8,No
MAGALDRATE,13,06-11-17,90,4,No
MAGALDRATE,6,02-02-18,137,6,No
Hydroxychloroquine ,10,22-06-17,78,10,No
Acetaminophen ,12,21-04-16,46,6,No
Glucagon ,5,16-11-18,32,7,No
Acyclovir ,4,27-06-17,110,7,No
Ciprofloxacin ,7,08-02-17,100,3,No
MAGALDRATE ,2,01-09-17,130,8,No
Keratolytics ,3,03-05-19,134,7,No
METRONIDAZOLE ,3,26-02-17,19,2,No
SODIUM CHLORIDE ,2,21-02-16,58,4,No
Ibuprofen ,9,30-03-17,136,1,No
Aspirin ,7,10-10-16,78,5,No
Furazolidone ,12,14-05-17,118,10,No
MAGALDRATE ,11,13-07-18,122,3,No
PACLITAXEL ,4,21-05-17,115,4,No
Acyclovir ,1,28-05-16,93,4,No
Nitazoxanide ,8,02-05-16,87,1,No
MAGALDRATE ,7,09-05-17,77,7,No
Phenothiazines ,1,24-08-17,27,6,No
METRONIDAZOLE ,12,19-03-18,73,1,No
FLUOXETINE ,5,27-09-18,104,3,No
Keratolytics ,8,23-07-17,111,9,No
Tetracycline ,5,16-11-16,14,10,Yes
Vitamin K ,5,22-10-16,58,6,No
PACLITAXEL ,11,27-12-16,124,3,No
Furazolidone ,11,18-09-18,119,10,No
Ibuprofen ,1,16-09-17,19,2,No
Aminophylline ,8,01-04-18,77,4,No
Panadol ,11,11-04-17,83,7,No
Ibuprofen ,7,29-12-16,121,8,No
Dantrolene ,2,05-10-18,13,4,No
MAGALDRATE,1,25-04-17,44,10,No
Phenothiazines ,13,30-05-17,87,2,No
MAGALDRATE ,8,24-03-17,29,6,No
METRONIDAZOLE ,12,30-06-18,87,9,No
METRONIDAZOLE ,9,29-05-16,59,10,No
FLUOXETINE ,4,20-01-18,47,6,No
Ibuprofen ,5,04-12-16,130,7,No
Phenothiazines ,1,20-04-18,129,4,No
Aspirin ,3,29-07-16,40,1,No
MAGALDRATE ,1,01-07-18,85,6,No
Adrenaline ,7,22-11-18,85,7,No
Paracetamol GV 500 ,9,18-05-18,131,8,No
Dantrolene ,7,17-03-17,120,8,No
Glucagon ,5,10-05-16,13,6,No
MAGALDRATE,13,13-12-18,135,6,No
Furazolidone ,12,22-01-19,78,7,No
Ciprofloxacin ,11,05-12-16,17,1,No
RANITIDINE ,7,06-03-19,15,4,No
SODIUM CHLORIDE ,3,22-11-16,130,7,No
FLUOXETINE ,11,26-03-18,138,3,No
Ciprofloxacin ,1,14-01-19,106,9,No
Paracetamol GV 500 ,3,17-06-16,138,6,No
Ciprofloxacin ,11,12-04-16,58,4,No
Aspirin ,13,11-12-16,101,7,No
Trimethoprim ,6,09-03-18,109,2,No
Methotrexate ,13,03-04-17,80,7,No
DIPYRIDAMOLE ,4,21-09-16,19,8,No
Nitazoxanide ,6,03-09-16,26,8,No
Furazolidone ,3,25-03-18,14,9,Yes
Furazolidone ,2,17-06-16,20,8,No
Methotrexate ,3,11-03-18,92,5,No
SODIUM CHLORIDE ,13,02-02-19,38,9,No
Methotrexate ,6,21-12-17,87,2,No
Chloramphenicol ,8,27-01-19,60,8,No
Scopolamine ,6,10-04-17,55,5,No
Vitamin K ,13,10-04-16,87,5,No
RANITIDINE ,8,16-07-16,111,2,No
MAGALDRATE,6,26-06-18,84,9,No
MAGALDRATE ,7,08-04-16,126,1,No
Ciprofloxacin ,13,11-06-17,24,10,No
Ibuprofen ,11,12-12-16,123,5,No
ciprofloxacin ,1,04-06-18,49,9,No
Aminophylline ,9,12-01-17,124,2,No
Tetracycline ,11,16-04-16,123,7,No
SODIUM CHLORIDE ,1,05-09-17,114,8,No
ciprofloxacin ,4,31-10-18,11,3,No
Adrenaline ,5,05-11-17,40,3,No
MAGALDRATE ,2,03-06-17,107,9,No
METRONIDAZOLE ,9,12-01-19,42,6,No
Acyclovir ,1,16-04-18,76,4,No
Methotrexate ,9,16-07-16,21,9,No
Furazolidone ,12,21-01-19,116,2,No
RANITIDINE ,5,23-06-16,59,7,No
MAGALDRATE,4,20-09-18,42,7,No
Acyclovir ,7,05-01-18,43,2,No
MAGALDRATE ,7,30-06-16,17,10,Yes
Acetaminophen ,6,26-02-17,118,2,No
Aspirin ,8,23-02-16,138,7,No
Keratolytics ,11,28-08-18,66,7,No
Estrogens ,13,14-01-16,51,4,No
MAGALDRATE ,12,02-06-16,96,3,No
DIPYRIDAMOLE ,4,09-12-16,126,2,No
Methotrexate ,10,04-05-18,85,4,No
MAGALDRATE ,9,19-12-17,119,1,No
Trimethoprim ,11,18-09-17,20,3,No
Hydroxychloroquine ,11,23-12-18,19,4,No
Aminophylline ,9,06-08-18,41,10,No
RANITIDINE ,12,20-04-16,24,9,No
Keratolytics ,7,28-04-18,122,10,No
Furazolidone ,1,23-01-17,94,5,No
ciprofloxacin ,12,06-08-16,127,7,No
ciprofloxacin ,13,13-09-18,78,2,No
Aqueous gentian violet ,8,09-12-17,24,10,No
Trimethoprim ,6,23-03-19,90,3,No
Methotrexate ,1,11-04-16,127,1,No
MAGALDRATE ,3,19-12-18,118,5,No
Keratolytics ,12,29-08-17,137,3,No
MAGALDRATE ,13,25-10-17,56,9,No
Nitazoxanide ,4,02-05-19,105,2,No
ciprofloxacin ,11,09-03-18,12,10,Yes
METRONIDAZOLE ,2,07-09-17,78,6,No
ciprofloxacin ,13,03-02-16,110,10,No
Panadol ,13,05-06-18,111,4,No
Keratolytics ,2,05-01-18,72,10,No
Trimethoprim ,6,13-08-16,41,10,No
Aqueous gentian violet ,5,12-06-16,77,9,No
FLUOXETINE ,3,17-02-16,85,4,No
Hydroxychloroquine ,8,05-06-16,86,3,No
FLUOXETINE ,1,27-03-18,109,7,No
Paracetamol GV 500 ,2,04-09-16,134,2,No
Methotrexate ,11,09-10-16,71,3,No
Furazolidone ,5,26-04-16,115,6,No
Phenothiazines ,11,06-03-18,122,1,No
Chloramphenicol ,12,26-05-18,133,1,No
MAGALDRATE,7,18-07-17,97,3,No
MAGALDRATE,9,18-03-17,19,4,No
Adrenaline ,4,10-01-16,16,1,No
Scopolamine ,4,28-10-16,49,3,No
Trimethoprim ,7,31-10-18,115,2,No
Methotrexate ,3,31-01-19,125,4,No
Phenothiazines ,7,01-03-17,17,7,No
RANITIDINE ,11,18-01-19,79,5,No
Scopolamine ,11,07-05-18,73,4,No
Adrenaline ,1,18-04-18,55,9,No
Keratolytics ,11,18-03-18,100,10,No
RANITIDINE ,1,01-12-16,65,9,No
FLUOXETINE ,4,31-07-18,127,9,No
Phenothiazines ,10,27-10-17,41,4,No
Methotrexate ,13,27-11-17,32,6,No
METRONIDAZOLE ,5,19-11-17,29,2,No
Scopolamine ,5,15-02-16,118,6,No
Estrogens ,13,03-02-19,87,10,No
SODIUM CHLORIDE ,4,06-04-16,59,2,No
Scopolamine ,13,22-06-17,50,4,No
Trimethoprim ,10,21-08-16,108,10,No
SODIUM CHLORIDE ,3,10-09-17,39,8,No
SODIUM CHLORIDE ,2,13-12-18,113,4,No
Glucagon ,12,22-07-18,37,8,No
Phenothiazines ,12,18-02-19,39,10,No
PACLITAXEL ,13,28-04-19,128,5,No
Hydroxychloroquine ,10,28-03-19,85,6,No
Adrenaline ,13,16-02-19,122,10,No
Ibuprofen ,10,13-06-16,129,4,No
Furazolidone ,11,26-04-17,136,4,No
MAGALDRATE,2,23-06-17,105,9,No
Trimethoprim ,3,05-05-16,64,10,No
Trimethoprim ,8,10-06-18,38,1,No
Keratolytics ,6,31-08-17,123,6,No
DIPYRIDAMOLE ,10,16-08-18,35,4,No
Paracetamol GV 500 ,1,29-04-17,47,5,No
Acetaminophen ,2,01-12-17,21,5,No
Acetaminophen ,12,20-02-18,100,9,No
Aminophylline ,11,23-09-17,80,5,No
Panadol ,4,01-11-16,40,1,No
Furazolidone ,9,13-11-17,31,5,No
Furazolidone ,1,01-01-19,126,7,No
Estrogens ,5,14-04-17,42,5,No
Estrogens ,8,09-08-16,51,3,No
Dantrolene ,1,20-06-18,73,3,No
Aspirin ,12,23-09-18,86,1,No
Keratolytics ,5,28-08-16,92,5,No
Glucagon ,6,30-03-18,124,2,No
RANITIDINE ,12,06-03-18,116,6,No
ciprofloxacin ,1,01-01-19,78,7,No
Ciprofloxacin ,11,27-01-16,90,5,No
SODIUM CHLORIDE ,5,10-12-16,126,4,No
Nitazoxanide ,5,18-03-16,54,2,No
Aqueous gentian violet ,3,07-05-18,41,5,No
Aspirin ,3,02-01-19,137,2,No
Dantrolene ,13,22-03-17,63,6,No
RANITIDINE ,3,22-08-16,129,7,No
Antihistamines ,1,18-11-17,137,10,No
Furazolidone ,10,09-12-18,57,3,No
Keratolytics ,6,18-12-18,121,3,No
RANITIDINE ,10,03-02-16,47,10,No
Hydroxychloroquine ,11,13-01-19,12,8,Yes
Nitazoxanide ,8,13-09-17,132,2,No
Paracetamol GV 500 ,4,06-11-17,86,7,No
Furazolidone ,4,31-08-16,36,9,No
RANITIDINE ,12,01-05-19,123,2,No
Hydroxychloroquine ,9,22-03-17,88,9,No
Ibuprofen ,3,10-04-19,140,9,No
DIPYRIDAMOLE ,12,25-02-16,78,4,No
RANITIDINE ,1,29-08-18,127,2,No
ciprofloxacin ,7,12-03-16,107,1,No
Glucagon ,9,11-11-17,46,1,No
Panadol ,3,18-12-17,63,1,No
Aminophylline ,7,11-02-16,36,5,No
Furazolidone ,3,24-07-18,85,3,No
Aspirin ,10,28-08-17,21,10,No
Paracetamol GV 500 ,1,18-04-16,89,3,No
,13,02-02-16,59,8,No
Trimethoprim ,10,14-10-16,41,9,No
Hydroxychloroquine ,11,10-06-17,64,7,No
Acyclovir ,9,06-07-18,23,5,No
ciprofloxacin ,7,08-06-18,72,2,No
SODIUM CHLORIDE ,11,09-10-17,14,6,No
Panadol ,6,10-04-17,117,8,No
Glucagon ,6,25-04-19,110,8,No
MAGALDRATE,11,17-10-16,99,5,No
Dantrolene ,10,13-06-17,88,4,No
Dantrolene ,5,05-02-18,127,9,No
Adrenaline ,2,12-06-17,124,6,No
Scopolamine ,13,15-01-19,137,6,No
Acetaminophen ,2,25-03-17,102,7,No
Paracetamol GV 500 ,13,04-05-17,94,10,No
Scopolamine ,10,24-04-19,134,4,No
MAGALDRATE ,6,02-04-19,34,4,No
MAGALDRATE ,8,24-04-17,83,1,No
RANITIDINE ,7,27-03-18,29,3,No
ciprofloxacin ,3,06-03-19,13,3,No
Aqueous gentian violet ,12,04-07-17,81,1,No
Panadol ,7,11-07-16,77,7,No
Adrenaline ,7,13-05-18,66,10,No
Ibuprofen ,11,21-09-17,64,7,No
Aspirin ,10,14-01-17,120,10,No
Adrenaline ,9,14-11-17,17,5,No
Aspirin ,7,16-05-17,111,6,No
RANITIDINE ,4,28-07-17,64,2,No
Aspirin ,10,16-02-18,65,3,No
Antihistamines ,1,23-02-19,122,2,No
Hydroxychloroquine ,4,24-04-16,96,8,No
Hydroxychloroquine ,9,07-04-19,124,8,No
Ibuprofen ,13,24-11-18,111,7,No
Aspirin ,12,20-04-16,105,2,No
Scopolamine ,11,06-03-19,66,2,No
PACLITAXEL ,7,21-06-16,12,8,Yes
Adrenaline ,1,12-10-17,57,9,No
Aspirin ,7,11-02-17,124,7,No
Keratolytics ,9,18-08-17,114,2,No
ciprofloxacin ,8,07-11-17,56,1,No
DIPYRIDAMOLE ,7,12-07-18,110,5,No
SODIUM CHLORIDE ,10,28-01-16,38,2,No
ciprofloxacin ,5,07-04-19,119,4,No
Antihistamines ,3,23-05-17,121,8,No
Vitamin K ,12,16-07-18,11,2,No
Antihistamines ,2,21-04-16,53,8,No
Aminophylline ,6,11-12-17,96,1,No
SODIUM CHLORIDE ,5,05-04-16,55,6,No
MAGALDRATE,2,06-02-19,23,3,No
Ibuprofen ,1,13-01-19,84,8,No
Adrenaline ,8,02-07-16,69,10,No
Aspirin ,6,25-08-17,37,6,No
RANITIDINE ,4,23-05-18,128,2,No
Phenothiazines ,4,13-04-16,39,3,No
Nitazoxanide ,6,28-04-18,87,1,No
Glucagon ,8,24-07-16,46,4,No
Trimethoprim ,4,08-12-18,86,10,No
Aspirin ,9,28-10-16,77,5,No
RANITIDINE ,5,12-12-17,122,1,No
Nitazoxanide ,6,27-08-17,114,4,No
RANITIDINE ,9,04-06-18,85,10,No
Paracetamol GV 500 ,13,21-09-16,138,2,No
RANITIDINE ,10,05-09-18,87,10,No
Estrogens ,4,13-10-16,114,7,No
Furazolidone ,10,06-12-17,136,2,No
ciprofloxacin ,7,27-05-18,47,4,No
Nitazoxanide ,7,23-04-19,117,4,No
PACLITAXEL ,5,09-09-18,126,9,No
ciprofloxacin ,8,14-07-18,119,2,No
Chloramphenicol ,4,21-05-16,63,1,No
SODIUM CHLORIDE ,2,19-02-19,123,3,No
Antihistamines ,9,09-10-16,13,3,No
Phenothiazines ,8,19-01-17,67,6,No
METRONIDAZOLE ,3,24-01-18,111,4,No
SODIUM CHLORIDE ,1,30-12-16,14,10,Yes
Glucagon ,3,22-02-18,16,6,No
Dantrolene ,9,05-06-17,117,6,No
MAGALDRATE ,4,08-04-19,69,2,No
Nitazoxanide ,11,25-01-16,37,7,No
Dantrolene ,7,23-01-18,33,3,No
Phenothiazines ,7,02-07-17,91,7,No
Nitazoxanide ,6,06-06-16,55,4,No
Glucagon ,4,02-03-16,125,4,No
DIPYRIDAMOLE ,10,15-06-16,92,3,No
Paracetamol GV 500 ,8,19-06-17,82,8,No
SODIUM CHLORIDE ,3,15-02-16,129,3,No
FLUOXETINE ,1,01-06-18,67,7,No
RANITIDINE ,13,29-11-18,98,6,No
Trimethoprim ,4,31-01-17,51,1,No
Acetaminophen ,8,28-07-17,115,1,No
Acetaminophen ,2,09-04-16,44,4,No
Scopolamine ,2,13-03-17,66,10,No
Furazolidone ,1,16-01-17,119,1,No
MAGALDRATE ,11,04-03-17,62,3,No
Aspirin ,2,25-10-16,122,5,No
RANITIDINE ,13,22-08-18,31,8,No
Aminophylline ,7,13-04-16,36,6,No
Tetracycline ,6,20-10-17,77,4,No
PACLITAXEL ,12,23-09-16,138,3,No
Glucagon ,4,04-03-18,131,9,No
FLUOXETINE ,3,13-04-18,70,6,No
Vitamin K ,1,12-05-16,128,2,No
Phenothiazines ,7,15-04-17,118,2,No
Methotrexate ,12,18-05-16,133,9,No
Dantrolene ,13,22-01-17,103,5,No
Scopolamine ,11,24-10-18,53,9,No
MAGALDRATE ,8,20-09-18,115,3,No
Chloramphenicol ,3,06-12-18,82,2,No
RANITIDINE ,13,09-11-18,108,5,No
Aminophylline ,1,17-06-16,23,3,No
MAGALDRATE,1,09-08-17,118,9,No
PACLITAXEL ,12,02-01-16,82,6,No
Phenothiazines ,2,14-08-17,89,4,No
Tetracycline ,1,05-10-16,59,3,No
SODIUM CHLORIDE ,3,24-04-18,41,9,No
Aminophylline ,1,05-08-18,29,10,No
Panadol ,10,17-02-17,136,9,No
Dantrolene ,9,09-12-18,138,6,No
PACLITAXEL ,12,15-09-17,140,4,No
Aqueous gentian violet ,4,30-01-19,89,5,No
RANITIDINE ,2,30-07-18,78,6,No
ciprofloxacin ,8,27-04-17,104,1,No
Keratolytics ,13,14-02-19,87,10,No
Estrogens ,1,25-08-17,93,2,No
Panadol ,2,02-02-17,112,5,No
MAGALDRATE,4,02-03-16,36,6,No
MAGALDRATE ,3,03-12-17,22,6,No
Chloramphenicol ,1,28-01-19,80,5,No
Nitazoxanide ,13,24-05-17,51,2,No
SODIUM CHLORIDE ,8,17-06-16,13,5,No
ciprofloxacin ,10,15-04-18,97,2,No
SODIUM CHLORIDE ,10,14-01-17,115,6,No
Paracetamol GV 500 ,13,20-12-16,68,3,No
Phenothiazines ,6,04-03-16,30,6,No
Glucagon ,5,18-06-17,20,6,No
Trimethoprim ,11,07-07-16,134,1,No
DIPYRIDAMOLE ,5,10-09-18,61,7,No
Dantrolene ,8,11-05-17,44,8,No
Ciprofloxacin ,9,14-04-16,70,4,No
Scopolamine ,13,09-04-17,56,7,No
SODIUM CHLORIDE ,4,26-02-18,12,1,No
Aqueous gentian violet ,7,29-04-16,62,6,No
Keratolytics ,9,22-11-18,68,3,No
Aspirin ,11,30-06-18,75,10,No
Acyclovir ,7,25-05-18,120,1,No
Dantrolene ,10,15-12-17,14,1,No
Ibuprofen ,2,15-06-16,13,7,Yes
Aspirin ,13,09-12-18,128,1,No
Ibuprofen ,9,08-11-18,20,3,No
RANITIDINE ,11,20-11-18,28,1,No
Dantrolene ,8,20-02-16,129,8,No
Ibuprofen ,5,15-08-17,81,5,No
Hydroxychloroquine ,5,23-03-17,71,9,No
Scopolamine ,8,16-01-19,140,6,No
RANITIDINE ,11,05-03-16,118,4,No
MAGALDRATE,9,26-06-16,113,1,No
Hydroxychloroquine ,13,17-02-17,11,3,No
Panadol ,12,30-03-18,24,8,No
ciprofloxacin ,10,28-02-19,83,1,No
Methotrexate ,1,22-12-18,105,3,No
METRONIDAZOLE ,10,30-04-19,72,2,No
Estrogens ,12,12-01-18,111,8,No
Adrenaline ,1,15-07-16,137,10,No
Furazolidone ,3,15-06-17,140,3,No
Acetaminophen ,1,22-01-18,58,1,No
Glucagon ,5,06-01-17,50,7,No
Adrenaline ,2,13-01-18,102,3,No
Ibuprofen ,2,02-03-16,60,8,No
Scopolamine ,13,20-10-17,14,9,Yes
Aspirin ,1,04-01-17,87,10,No
Trimethoprim ,6,23-01-16,132,9,No
Chloramphenicol ,3,03-08-17,57,9,No
MAGALDRATE,10,19-04-19,55,9,No
Antihistamines ,7,09-09-16,67,9,No
Keratolytics ,12,15-03-17,132,10,No
Antihistamines ,5,27-02-18,13,4,No
METRONIDAZOLE ,1,08-03-18,63,4,No
Acetaminophen ,2,13-06-16,69,4,No
MAGALDRATE,6,13-03-17,108,4,No
Antihistamines ,8,09-09-17,66,6,No
Scopolamine ,13,24-09-18,114,8,No
Methotrexate ,10,05-12-16,103,1,No
Chloramphenicol ,7,22-03-18,58,5,No
Phenothiazines ,11,07-03-18,109,2,No
Glucagon ,9,11-11-17,137,5,No
Tetracycline ,10,16-02-16,48,7,No
Ciprofloxacin ,7,24-03-18,23,3,No
Aminophylline ,1,04-02-19,104,3,No
Chloramphenicol ,5,27-01-16,79,4,No
Furazolidone ,5,30-08-17,46,7,No
Acyclovir ,3,10-11-17,34,8,No
Tetracycline ,13,13-11-16,20,3,No
Paracetamol GV 500 ,8,14-02-16,33,4,No
Paracetamol GV 500 ,6,20-06-16,73,3,No
MAGALDRATE ,13,25-01-17,137,6,No
